timestep,avg_reward,avg_interference,avg_fairness,avg_throughput_bps,avg_latency_ms,energy_efficiency_bits_per_joule
0,0.5623850983416314,1.4,0.734346342859934,72406024.80078098,33.062733284200476,160943019.01685828
1,0.4778883735637184,3.4,0.9300429325690639,65720107.84372936,31.9398736218857,138460282.86195022
2,0.44342021302871915,2.2,0.7452236848780363,49283364.041876756,31.32611981134671,88801711.69107187
3,0.3471154686570734,1.8,0.6136912443282116,54117338.90725742,27.37137958027315,81621418.88432612
4,0.37318464628407344,1.0,0.9322618026260999,62191832.186138906,32.80048215269919,117733425.77375896
5,0.42758983270940504,1.8,0.7380768579525102,66368555.6600631,32.76406524600544,123576238.56552954
6,0.5515276277803804,1.4,0.9095338092805361,67695149.6636407,33.45974052487833,124892851.9357486
7,0.46701375030959474,1.8,0.7451031578663782,67664198.32528742,29.442367736056706,107351143.3711716
8,0.3639408099500133,2.8,0.9444272079898887,52351335.79183515,23.22305953793334,90351504.90736414
9,0.4451732232980021,2.8,0.6878042100323835,38453316.726273105,31.79069556870106,84227348.72949709
10,0.8353887443857193,1.2,0.9898189060795479,48289754.59735572,32.79112303916823,90802759.69670115
11,0.3153814438335968,2.6,0.9119035099152123,46979314.556832,36.929179804578055,74133693.60501656
12,0.4252903333992554,1.2,0.6456951703681587,66748757.03023317,23.828194413609705,105859111.98533171
13,0.5094509738334677,1.8,0.8263106479866242,47740850.62710564,28.94581954722771,98043707.51790868
14,0.4997602680513767,1.8,0.9941469248966939,63622071.32119558,25.706339679427195,115090443.3089481
15,0.40973139090608524,2.2,0.7884261810775257,89763789.0662786,23.98125938895079,181826565.46167415
16,0.43836804991149736,1.6,0.6728428555286333,56453030.39824432,25.759486791961415,146917309.01552686
17,0.61035492789166,1.8,0.7939113468601384,42699986.97362074,37.49840895893666,106525222.9288658
18,0.5851736918604503,1.2,0.8049830623527686,74885561.47103797,28.192640049561522,133190848.29835448
19,0.3154759995684668,2.4,0.8966747776914662,58656755.715732075,33.23673539229923,120532738.93113424
20,0.4796665486235274,1.4,0.8795383412643618,75540422.33395669,28.033529510357276,152046027.10692286
21,0.3442008732095937,2.8,0.7610200174387922,67923473.9159284,20.470623969006606,105287600.07411757
22,0.5644389057170371,1.6,0.6872092429976346,52598018.65835692,31.750573359494133,82145773.32538448
23,0.6587207932756993,2.0,0.8580216671077318,57002669.39533417,30.88567147014704,98964134.11591303
24,0.47190440342580764,2.6,0.7686815738213127,44557306.043241546,25.64850558732116,61804203.14790834
25,0.5247105141827699,2.6,0.6529104844501321,68305009.99998167,33.46114262992154,181592632.50581294
26,0.40798181125386784,2.6,0.9602289204945542,76622879.37682875,29.52817236318784,133388449.38765417
27,0.5760848395519108,1.6,0.8764887430438617,76505645.17584658,30.88840803037653,101920380.0536435
28,0.4594393801708197,1.6,0.8732735425781926,38171603.317347005,18.594062512706163,64678832.731312945
29,0.2958511040099784,0.6,0.9290335503646696,64892381.678932264,24.541482999567002,128743902.21960545
30,0.5535651726226026,1.6,0.8118646714620325,70095181.8455334,34.659820311060535,125093174.20580097
31,0.5283328653700712,2.0,0.9260217713609828,59220225.93758547,32.55707570789171,101900580.43516237
32,0.4519366256405789,2.2,0.7992363014044023,42755156.93704493,32.17317158344211,98904279.55882654
33,0.3948538311407668,2.6,0.626870159966284,43179836.192205034,27.727564715417294,95213947.58348048
34,0.4155827629353615,1.2,0.7620992352110755,51460546.641323626,25.44530980772719,118788218.55001825
35,0.4652580892581445,1.6,0.7989859575919562,62665771.57109845,33.25877733390563,96102114.80523337
36,0.5029028943331094,1.6,0.8880810326529183,69068890.57213542,35.09696826023641,99773039.23589958
